,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-08-07,17858120.83333333,138625.00000000,15961440.00000000,33958185.83333333,19314.16666666,0.00056909,-0.00531523,24850488.26784587,26093.84977877,0.00051104,0.00133908,0.05053457,-0.05584980,1
2019-08-08,17927005.00000000,138625.00000000,15961440.00000000,34027070.00000000,68884.16666667,0.00202850,-0.00329751,24825131.86117046,-25356.40667541,-0.00057243,0.00128192,0.05188127,-0.05517878,0
2019-08-09,17906789.16666667,138625.00000000,15961440.00000000,34006854.16666667,-20215.83333333,-0.00059411,-0.00388966,24848039.23711561,22907.37594515,0.00052124,0.00007917,0.05196454,-0.05585420,0
2019-08-12,17882325.00000000,168625.00000000,15961440.00000000,34012390.00000000,5535.83333333,0.00016279,-0.00372751,25529533.45076977,681494.21365416,0.01299265,0.02020589,0.07322042,-0.07694793,1
2019-08-13,17781899.16666666,168625.00000000,15961440.00000000,33911964.16666666,-100425.83333334,-0.00295263,-0.00666913,25219750.36956939,-309783.08120039,-0.00605298,-0.01182550,0.06052905,-0.06719818,1
2019-08-14,17794703.33333334,168625.00000000,15961440.00000000,33924768.33333334,12804.16666667,0.00037757,-0.00629408,26118354.66744807,898604.29787868,0.01707612,0.02658850,0.08872693,-0.09502100,1
2019-08-15,17671297.50000000,168625.00000000,15961440.00000000,33801362.50000000,-123405.83333334,-0.00363763,-0.00990881,26370445.40610712,252090.73865905,0.00446438,0.00365689,0.09270828,-0.10261709,0
2019-08-16,17655561.66666666,168625.00000000,15961440.00000000,33785626.66666666,-15735.83333334,-0.00046554,-0.01036974,26000832.64886969,-369612.75723743,-0.00692712,-0.01091071,0.08078606,-0.09115580,1
2019-08-19,17681054.16666666,168625.00000000,15961440.00000000,33811119.16666666,25492.50000000,0.00075454,-0.00962303,25517686.24934960,-483146.39952009,-0.00889638,-0.01310089,0.06662680,-0.07624983,0
2019-08-20,17738878.33333334,168625.00000000,15961440.00000000,33868943.33333334,57824.16666667,0.00171021,-0.00792927,25855993.76115090,338307.51180130,0.00629362,0.01149027,0.07888264,-0.08681191,1
2019-08-21,17775962.50000000,168625.00000000,15961440.00000000,33906027.50000000,37084.16666666,0.00109493,-0.00684302,25569276.00998941,-286717.75116149,-0.00539227,-0.00715867,0.07115928,-0.07800230,0
2019-08-22,18816496.66666666,168625.00000000,14961440.00000000,33946561.66666666,40534.16666666,0.00119549,-0.00565572,25369778.26792798,-199497.74206143,-0.00367351,-0.00459142,0.06624114,-0.07189685,0
2019-08-23,18830560.83333333,168625.00000000,14961440.00000000,33960625.83333333,14064.16666666,0.00041430,-0.00524376,26007908.28240284,638130.01447486,0.01203928,0.01892452,0.08641924,-0.09166299,1
2019-08-26,18749603.33333333,168625.00000000,14961440.00000000,33879668.33333333,-80957.50000000,-0.00238386,-0.00761512,25805078.40378413,-202829.87861871,-0.00384255,-0.00808163,0.07763920,-0.08525432,1
2019-08-27,18769397.50000000,202625.00000000,14961440.00000000,33933462.50000000,53794.16666667,0.00158780,-0.00603941,26244825.95050131,439747.54671719,0.00801345,0.01416948,0.09290878,-0.09894819,1
