,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-12-30,22039975.55555556,811750.00000000,10976490.00000000,33828215.55555555,530.83333333,0.00001569,-0.00912225,23704510.27613502,-79821.43736323,-0.00150647,-0.00242736,0.00817490,-0.01729715,0
2019-12-31,22061515.55555556,811750.00000000,10976490.00000000,33849755.55555555,21540.00000000,0.00063675,-0.00849131,23458552.93531701,-245957.34081801,-0.00469588,-0.00688690,0.00123170,-0.00972301,0
2020-01-01,22082388.05555556,811750.00000000,10976490.00000000,33870628.05555555,20872.50000000,0.00061662,-0.00787992,23455115.43531701,-3437.50000000,-0.00006875,0.00053875,0.00177112,-0.00965104,0
2020-01-02,22071460.55555556,811750.00000000,10976490.00000000,33859700.55555555,-10927.50000000,-0.00032262,-0.00820001,23688731.98567458,233616.55035757,0.00447206,0.00687755,0.00866085,-0.01686085,0
2020-01-03,22144563.05555556,811750.00000000,10976490.00000000,33932803.05555555,73102.50000000,0.00215898,-0.00605873,24158090.49886157,469358.51318699,0.00902550,0.01663898,0.02544393,-0.03150266,1
2020-01-06,22213980.55555556,811750.00000000,10976490.00000000,34002220.55555555,69417.50000000,0.00204573,-0.00402539,23998357.99946399,-159732.49939758,-0.00301530,-0.00272490,0.02264970,-0.02667508,0
2020-01-07,22259223.05555556,811750.00000000,10976490.00000000,34047463.05555555,45242.50000000,0.00133057,-0.00270017,23900627.56273086,-97730.43673313,-0.00181315,-0.00158795,0.02102578,-0.02372595,0
2020-01-08,22212715.55555556,811750.00000000,10976490.00000000,34000955.55555555,-46507.50000000,-0.00136596,-0.00406244,23690080.58942956,-210546.97330130,-0.00404033,-0.00778918,0.01307283,-0.01713527,1
2020-01-09,23260908.05555556,811750.00000000,9993310.00000000,34065968.05555555,65012.50000000,0.00191208,-0.00215813,23732204.60645344,42124.01702388,0.00076352,0.00327190,0.01638751,-0.01854563,1
2020-01-10,23297510.55555556,811750.00000000,9993310.00000000,34102570.55555555,36602.50000000,0.00107446,-0.00108599,23986591.01774808,254386.41129464,0.00487147,0.00885769,0.02539035,-0.02647634,1
2020-01-13,23280198.05555556,811750.00000000,9993310.00000000,34085258.05555555,-17312.50000000,-0.00050766,-0.00159310,23897445.56602069,-89145.45172739,-0.00169497,-0.00321212,0.02209667,-0.02368977,1
2020-01-14,23312210.55555556,811750.00000000,9993310.00000000,34117270.55555555,32012.50000000,0.00093919,-0.00065540,24058741.57978242,161296.01376173,0.00308506,0.00585143,0.02807740,-0.02873281,1
2020-01-15,26241833.05555556,858000.00000000,6993310.00000000,34093143.05555555,-24127.50000000,-0.00070719,-0.00136213,24241414.46887305,182672.88909063,0.00345389,0.00477124,0.03298260,-0.03434474,0
2020-01-16,27034712.50000000,858000.00000000,5993310.00000000,33886022.50000000,-207120.55555555,-0.00607514,-0.00742900,24128099.64573669,-113314.82313635,-0.00216040,-0.00959734,0.02306872,-0.03049772,1
2020-01-17,27026291.94444444,858000.00000000,5993310.00000000,33877601.94444445,-8420.55555555,-0.00024850,-0.00767565,23887482.31602069,-240617.32971600,-0.00453941,-0.00753120,0.01536379,-0.02303944,1
2020-01-20,27028210.27777778,858000.00000000,5993310.00000000,33879520.27777778,1918.33333333,0.00005663,-0.00761946,23877169.81602069,-10312.50000000,-0.00020625,-0.00025578,0.01510408,-0.02272354,0
2020-01-21,26896459.72222222,886500.00000000,5993310.00000000,33776269.72222222,-103250.55555555,-0.00304758,-0.01064382,24225229.42512279,348059.60910210,0.00667353,0.00746140,0.02267818,-0.03332200,0
2020-01-22,26897007.50000000,955125.00000000,5993310.00000000,33845442.50000000,69172.77777778,0.00204797,-0.00861764,24314645.40231635,89415.97719356,0.00167265,0.00479774,0.02758472,-0.03620237,1
2020-01-23,26896846.52777778,1004875.00000000,5993310.00000000,33895031.52777778,49589.02777778,0.00146516,-0.00716511,24557700.85670345,243055.45438711,0.00461746,0.00881102,0.03663879,-0.04380390,1
2020-01-24,26885061.94444444,1031625.00000000,5993310.00000000,33909996.94444445,14965.41666667,0.00044152,-0.00672675,24837177.03236226,279476.17565880,0.00527780,0.00878770,0.04574846,-0.05247521,1
2020-01-27,26891128.19444444,1031625.00000000,5993310.00000000,33916063.19444445,6066.25000000,0.00017889,-0.00654906,25412727.35821367,575550.32585142,0.01084380,0.01720730,0.06374297,-0.07029203,1
2020-01-28,26880343.61111111,1031625.00000000,5993310.00000000,33905278.61111110,-10784.58333334,-0.00031798,-0.00686496,25044615.34379416,-368112.01441952,-0.00696020,-0.01102014,0.05202037,-0.05888532,1
2020-01-29,26783959.02777778,1031625.00000000,5993310.00000000,33808894.02777778,-96384.58333333,-0.00284276,-0.00968820,25374702.29883905,330086.95504489,0.00614191,0.00687294,0.05925083,-0.06893904,0
2020-01-30,26609154.44444444,1065375.00000000,5993310.00000000,33667839.44444445,-141054.58333333,-0.00417211,-0.01381990,25316302.92024802,-58399.37859103,-0.00117523,-0.00582569,0.05307997,-0.06689987,1
2020-01-31,26689094.44444444,1065375.00000000,5993310.00000000,33747779.44444445,79940.00000000,0.00237437,-0.01147834,25651679.63965706,335376.71940904,0.00622869,0.01220173,0.06592937,-0.07740770,1
2020-02-03,26566399.86111111,1101000.00000000,5993310.00000000,33660709.86111111,-87069.58333334,-0.00258001,-0.01402873,25631318.68259547,-20360.95706159,-0.00036072,-0.00311819,0.06260560,-0.07663433,1
2020-02-04,26585585.27777778,1101000.00000000,5993310.00000000,33679895.27777778,19185.41666666,0.00056996,-0.01346676,25117060.38852417,-514258.29407130,-0.00951698,-0.01441452,0.04728864,-0.06075540,0
2020-02-05,26615380.69444444,1101000.00000000,5993310.00000000,33709690.69444445,29795.41666667,0.00088466,-0.01259401,24695547.37208888,-421513.01643529,-0.00788859,-0.01157204,0.03516937,-0.04776339,0
2020-02-06,26715806.11111111,1101000.00000000,5993310.00000000,33810116.11111110,100425.41666666,0.00297913,-0.00965241,24833472.32215013,137924.95006126,0.00256232,0.00712373,0.04254364,-0.05219605,1
2020-02-07,26715551.52777778,1101000.00000000,5993310.00000000,33809861.52777778,-254.58333333,-0.00000753,-0.00965986,25234094.26819275,400621.94604262,0.00743872,0.01188140,0.05493053,-0.06459039,0
2020-02-10,26733867.77777778,1101000.00000000,5993310.00000000,33828177.77777778,18316.25000000,0.00054174,-0.00912335,25274174.50599844,40080.23780569,0.00065539,0.00171264,0.05673724,-0.06586060,1
2020-02-11,26707189.86111111,1131000.00000000,5993310.00000000,33831499.86111111,3322.08333334,0.00009820,-0.00902604,25085875.20799245,-188299.29800600,-0.00349219,-0.00541570,0.05101427,-0.06004032,0
2020-02-12,26735065.27777778,1131000.00000000,5993310.00000000,33859375.27777778,27875.41666666,0.00082395,-0.00820953,24904512.20891685,-181362.99907560,-0.00336619,-0.00451823,0.04626555,-0.05447508,0
2020-02-13,26722970.69444444,1131000.00000000,5993310.00000000,33847280.69444445,-12094.58333333,-0.00035720,-0.00856380,25018713.06103337,114200.85211652,0.00209704,0.00301935,0.04942460,-0.05798840,0
2020-02-14,26786336.11111111,1131000.00000000,5993310.00000000,33910646.11111111,63365.41666666,0.00187210,-0.00670774,25173133.09985534,154420.03882197,0.00286586,0.00642068,0.05616261,-0.06287035,1
2020-02-17,26801002.36111111,1131000.00000000,5993310.00000000,33925312.36111110,14666.24999999,0.00043250,-0.00627814,25188070.71096645,14937.61111111,0.00029875,0.00086720,0.05707852,-0.06335666,1
2020-02-18,26807017.77777778,1131000.00000000,5993310.00000000,33931327.77777778,6015.41666667,0.00017731,-0.00610194,25418370.51592880,230299.80496235,0.00424129,0.00691652,0.06438983,-0.07049177,1
2020-02-19,26740883.19444444,1131000.00000000,5993310.00000000,33865193.19444445,-66134.58333333,-0.00194907,-0.00803912,25401411.32691175,-16959.18901706,-0.00033525,-0.00241530,0.06181901,-0.06985813,1
2020-02-20,26771028.61111111,1131000.00000000,5993310.00000000,33895338.61111111,30145.41666666,0.00089016,-0.00715611,25637905.49618493,236494.16927319,0.00428335,0.00776922,0.07006851,-0.07722463,1
2020-02-21,26603234.02777778,1131000.00000000,5993310.00000000,33727544.02777778,-167794.58333334,-0.00495037,-0.01207106,25964048.96647440,326143.47028947,0.00594968,0.00457833,0.07496764,-0.08703870,0
2020-02-24,26549670.27777778,1131000.00000000,5993310.00000000,33673980.27777778,-53563.75000000,-0.00158813,-0.01364002,26728204.05070723,764155.08423282,0.01428872,0.02045162,0.09695247,-0.11059249,0
2020-02-25,26534495.69444444,1131000.00000000,5993310.00000000,33658805.69444445,-15174.58333333,-0.00045063,-0.01408451,27006367.79747122,278163.74676399,0.00516360,0.00741743,0.10508904,-0.11917355,0
2020-02-26,26447231.11111111,1131000.00000000,5993310.00000000,33571541.11111111,-87264.58333334,-0.00259262,-0.01664062,26911126.49515167,-95241.30231955,-0.00149105,-0.00510955,0.09944253,-0.11608314,1
2020-02-27,26307786.52777778,1165000.00000000,5993310.00000000,33466096.52777778,-105444.58333333,-0.00314089,-0.01972924,27531714.00017528,620587.50502361,0.01159737,0.01449634,0.11538042,-0.13510966,0
2020-02-28,26053231.94444444,1165000.00000000,5993310.00000000,33211541.94444444,-254554.58333334,-0.00760634,-0.02718552,28145826.52372008,614112.52354480,0.01044607,0.00997354,0.12650471,-0.15369023,0
2020-03-02,26001343.61111111,1165000.00000000,5993310.00000000,33159653.61111111,-51888.33333333,-0.00156236,-0.02870540,27862645.63477891,-283180.88894117,-0.00496997,-0.00920248,0.11613807,-0.14484348,1
2020-03-03,26172969.02777778,1165000.00000000,5993310.00000000,33331279.02777778,171625.41666666,0.00517573,-0.02367824,28555718.61110189,693072.97632297,0.01246307,0.02396901,0.14289080,-0.16656904,1
2020-03-04,26112224.44444444,1165000.00000000,5993310.00000000,33270534.44444444,-60744.58333333,-0.00182245,-0.02545754,28032186.04006465,-523532.57103724,-0.00941696,-0.01581676,0.12481397,-0.15027151,1
2020-03-05,26192099.86111111,1165000.00000000,5993310.00000000,33350409.86111111,79875.41666666,0.00240079,-0.02311787,29179631.98700060,1147445.94693596,0.02063730,0.03375833,0.16278580,-0.18590368,1
2020-03-06,25915335.27777778,1165000.00000000,5993310.00000000,33073645.27777778,-276764.58333333,-0.00829869,-0.03122471,31121831.11932368,1942199.13232308,0.03324278,0.04431300,0.21431233,-0.24553704,0
2020-03-09,24881681.52777778,1165000.00000000,5993310.00000000,32039991.52777778,-1033653.75000000,-0.03125309,-0.06150194,33052397.00410966,1930565.88478598,0.03483729,0.02285193,0.24206171,-0.30356364,0
2020-03-10,24915916.94444444,1165000.00000000,5993310.00000000,32074226.94444444,34235.41666666,0.00106852,-0.06049913,31224156.67803621,-1828240.32607345,-0.02853916,-0.04468726,0.18655737,-0.24705650,0
2020-03-11,24660912.36111111,1165000.00000000,5993310.00000000,31819222.36111111,-255004.58333333,-0.00795045,-0.06796859,30611956.76045653,-612199.91757968,-0.00772086,-0.02261185,0.15972711,-0.22769570,1
2020-03-12,24241137.77777778,1165000.00000000,5993310.00000000,31399447.77777778,-419774.58333333,-0.01319248,-0.08026440,31630823.46005405,1018866.69959752,0.01975765,0.01598237,0.17826229,-0.25852669,0
2020-03-13,23746773.19444444,1165000.00000000,5993310.00000000,30905083.19444444,-494364.58333334,-0.01574437,-0.09474506,29800527.57922336,-1830295.88083069,-0.03426162,-0.06104089,0.10634012,-0.20108517,1
2020-03-16,23529739.44444444,1165000.00000000,5993310.00000000,30688049.44444444,-217033.75000000,-0.00702259,-0.10110229,32731502.46561643,2930974.88639307,0.05278616,0.07589533,0.19030617,-0.29140846,0
2020-03-17,23257184.86111111,1165000.00000000,5993310.00000000,30415494.86111111,-272554.58333333,-0.00888146,-0.10908581,30415483.35304584,-2316019.11257059,-0.03776603,-0.06728297,0.11021883,-0.21930465,1
2020-03-18,23157050.27777778,1165000.00000000,5993310.00000000,30315360.27777778,-100134.58333333,-0.00329222,-0.11201890,29443869.29342244,-971614.05962339,-0.01455886,-0.02986673,0.07706023,-0.18907913,1
2020-03-19,22429945.69444444,1165000.00000000,5993310.00000000,29588255.69444444,-727104.58333334,-0.02398469,-0.13331685,30657289.57920306,1213420.28578062,0.02281704,0.01396952,0.09210625,-0.22542310,0
2020-03-20,22127751.11111111,1165000.00000000,5993310.00000000,29286061.11111111,-302194.58333333,-0.01021333,-0.14216857,33638605.10805131,2981315.52884824,0.05448498,0.07589807,0.17499500,-0.31716358,0
2020-03-23,22073517.36111111,1165000.00000000,5993310.00000000,29231827.36111111,-54233.75000000,-0.00185186,-0.14375716,35057234.06908080,1418628.96102950,0.02379373,0.03592588,0.21720774,-0.36096490,0
2020-03-24,21883002.77777778,1165000.00000000,5993310.00000000,29041312.77777778,-190514.58333333,-0.00651737,-0.14933761,33206000.76114844,-1851233.30793236,-0.03448764,-0.05189682,0.15403853,-0.30337614,1
2020-03-25,21782878.19444444,1165000.00000000,5993310.00000000,28941188.19444444,-100124.58333334,-0.00344766,-0.15227040,32606802.52286518,-599198.23828327,-0.01170133,-0.01874825,0.13240233,-0.28467273,1
2020-03-26,21732633.61111111,1206250.00000000,5993310.00000000,28932193.61111111,-8994.58333333,-0.00031079,-0.15253387,31964281.68246447,-642520.84040070,-0.01345591,-0.01780030,0.11224523,-0.26477910,1
2020-03-27,21803949.02777778,1206250.00000000,5993310.00000000,29003509.02777778,71315.41666667,0.00246492,-0.15044494,33401295.28507517,1437013.60261070,0.02537427,0.04047137,0.15725932,-0.30770425,1
2020-03-30,21559715.27777778,1253750.00000000,5993310.00000000,28806775.27777778,-196733.75000000,-0.00678310,-0.15620755,33075132.53557059,-326162.74950459,-0.00534801,-0.01397939,0.14108153,-0.29728909,1
2020-03-31,21336615.27777778,1253750.00000000,5993310.00000000,28583675.27777778,-223100.00000000,-0.00774471,-0.16274248,33195439.41529790,120306.87972732,0.00352233,-0.00278709,0.13790124,-0.30064372,0
2020-04-01,21287720.69444444,1253750.00000000,5993310.00000000,28534780.69444444,-48894.58333334,-0.00171058,-0.16417467,34374594.68480037,1179155.26950247,0.02173156,0.03073105,0.17287014,-0.33704481,0
2020-04-02,21330036.11111111,1253750.00000000,5993310.00000000,28577096.11111111,42315.41666667,0.00148294,-0.16293519,34651632.40715114,277037.72235076,0.00464470,0.00842412,0.18275054,-0.34568573,1
2020-04-03,20909841.52777778,1253750.00000000,5993310.00000000,28156901.52777778,-420194.58333333,-0.01470389,-0.17524330,34974380.99561141,322748.58846027,0.00610938,-0.00254903,0.17973567,-0.35497898,0
2020-04-06,20909097.77777778,1253750.00000000,5993310.00000000,28156157.77777778,-743.75000000,-0.00002641,-0.17526509,34194216.20001329,-780164.79559813,-0.01521995,-0.02047947,0.15557531,-0.33084040,1
2020-04-07,20989553.19444444,1253750.00000000,5993310.00000000,28236613.19444444,80455.41666666,0.00285747,-0.17290843,33719493.46869038,-474722.73132291,-0.00797485,-0.01055591,0.14337716,-0.31628559,0
2020-04-08,21104978.61111111,1253750.00000000,5993310.00000000,28352038.61111111,115425.41666667,0.00408779,-0.16952745,32819794.60552812,-899698.86316225,-0.01698727,-0.02122176,0.11911269,-0.28864014,0
2020-04-09,21193264.02777778,1253750.00000000,5993310.00000000,28440324.02777778,88285.41666667,0.00311390,-0.16694144,32032220.14377627,-787574.46175185,-0.01599449,-0.01933242,0.09747753,-0.26441898,0
2020-04-10,21193409.44444444,1253750.00000000,5993310.00000000,28440469.44444444,145.41666666,0.00000511,-0.16693719,32028782.64377627,-3437.50000000,-0.00006875,-0.00009281,0.09737568,-0.26431286,0
2020-04-13,21265714.02777778,1293500.00000000,5993310.00000000,28552524.02777778,112054.58333334,0.00393997,-0.16365494,31893197.19343548,-135585.45034079,-0.00148044,-0.00066342,0.09664766,-0.26030261,0
2020-04-14,21702959.44444444,1293500.00000000,5993310.00000000,28989769.44444444,437245.41666667,0.01531372,-0.15084739,31972471.04847834,79273.85504287,0.00161697,0.01457212,0.11262814,-0.26347553,1
2020-04-15,21910484.86111111,1339750.00000000,5993310.00000000,29243544.86111111,253775.41666667,0.00875396,-0.14341394,33259882.08595430,1287411.03747596,0.02233345,0.04285569,0.16031058,-0.30372452,1
2020-04-16,21442870.27777777,1377000.00000000,5993310.00000000,28813180.27777777,-430364.58333334,-0.01471657,-0.15601994,33625827.18693609,365945.10098178,0.00566566,-0.00171770,0.15831752,-0.31433746,0
2020-04-17,21547785.69444444,1377000.00000000,5993310.00000000,28918095.69444444,104915.41666667,0.00364123,-0.15294682,33027920.16903117,-597907.01790492,-0.00990850,-0.01316786,0.14306496,-0.29601178,0
2020-04-20,21680781.94444444,1377000.00000000,5993310.00000000,29051091.94444444,132996.25000000,0.00459907,-0.14905116,33831858.53954341,803938.37051224,0.01491908,0.02535956,0.17205258,-0.32110374,1
2020-04-21,21502137.36111112,1377000.00000000,5993310.00000000,28872447.36111112,-178644.58333333,-0.00614932,-0.15428392,34470219.43778945,638360.89824604,0.01088691,0.01213518,0.18627565,-0.34055957,0
2020-04-22,21297402.77777778,1377000.00000000,5993310.00000000,28667712.77777778,-204734.58333334,-0.00709100,-0.16028090,34031428.41663622,-438791.02115323,-0.00716658,-0.01678354,0.16636574,-0.32664664,1
2020-04-23,21255438.19444444,1377000.00000000,5993310.00000000,28625748.19444444,-41964.58333333,-0.00146383,-0.16151010,34211570.33031105,180141.91367483,0.00280235,0.00366526,0.17064078,-0.33215088,0
2020-04-24,21250798.61111111,1411375.00000000,5993310.00000000,28655483.61111111,29735.41666667,0.00103876,-0.16063911,34423210.73095204,211640.40064099,0.00387080,0.00637931,0.17810866,-0.33874777,1
2020-04-27,21189554.86111111,1411375.00000000,5993310.00000000,28594239.86111111,-61243.75000000,-0.00213724,-0.16243303,33689020.75044190,-734189.98051014,-0.01178415,-0.02088921,0.15349890,-0.31593193,1
2020-04-28,21206390.27777777,1411375.00000000,5993310.00000000,28611075.27777777,16835.41666666,0.00058877,-0.16193989,33998572.59056892,309551.84012702,0.00453829,0.00875426,0.16359693,-0.32553682,1
2020-04-29,21261995.69444444,1411375.00000000,5993310.00000000,28666680.69444444,55605.41666667,0.00194349,-0.16031113,33533126.22159488,-465446.36897404,-0.00852546,-0.01089723,0.15091695,-0.31122808,0
2020-04-30,21221626.11111112,1475750.00000000,5993310.00000000,28690686.11111112,24005.41666667,0.00083740,-0.15960797,33133102.12539962,-400024.09619527,-0.00627692,-0.01010808,0.13928339,-0.29889136,0
2020-05-01,21233071.52777778,1475750.00000000,5993310.00000000,28702131.52777778,11445.41666666,0.00039892,-0.15927272,33651042.46526401,517940.33986439,0.00916099,0.01437619,0.15566194,-0.31493466,1
2020-05-04,21153277.77777778,1475750.00000000,5993310.00000000,28622337.77777778,-79793.75000000,-0.00278006,-0.16161000,33579815.73119190,-71226.73407211,-0.00074007,-0.00404304,0.15098955,-0.31259955,1
2020-05-05,21223393.19444444,1475750.00000000,5993310.00000000,28692453.19444444,70115.41666667,0.00244967,-0.15955621,33311994.23369694,-267821.49749496,-0.00444444,-0.00531437,0.14487276,-0.30442898,0
2020-05-06,21347108.61111111,1475750.00000000,5993310.00000000,28816168.61111111,123715.41666667,0.00431178,-0.15593241,33006845.29886735,-305148.93482958,-0.00387023,-0.00490302,0.13925943,-0.29519184,0
2020-05-07,21304234.02777777,1475750.00000000,5993310.00000000,28773294.02777777,-42874.58333334,-0.00148787,-0.15718827,33206199.23433781,199353.93547045,0.00184753,0.00424950,0.14410071,-0.30128898,0
2020-05-08,21401279.44444444,1475750.00000000,5993310.00000000,28870339.44444444,97045.41666667,0.00337276,-0.15434567,32681647.63246638,-524551.60187143,-0.00868962,-0.01156063,0.13087419,-0.28521985,0
2020-05-11,21533435.69444444,1475750.00000000,5993310.00000000,29002495.69444444,132156.25000000,0.00457758,-0.15047462,32486930.55577912,-194717.07668726,-0.00287754,-0.00171156,0.12893863,-0.27941325,0
2020-05-12,21598961.11111112,1475750.00000000,5993310.00000000,29068021.11111112,65525.41666667,0.00225930,-0.14855528,32841336.15499391,354405.59921479,0.00580158,0.01150829,0.14193079,-0.29048607,1
2020-05-13,21643946.52777778,1475750.00000000,5993310.00000000,29113006.52777778,44985.41666666,0.00154759,-0.14723759,33348762.51120902,507426.35621511,0.00922668,0.01496671,0.15902174,-0.30625933,1
2020-05-14,21589436.94444444,1512625.00000000,5993310.00000000,29095371.94444444,-17634.58333333,-0.00060573,-0.14775414,33663994.35315777,315231.84194875,0.00497182,0.00794403,0.16822904,-0.31598317,0
2020-05-15,21703572.36111111,1512625.00000000,5993310.00000000,29209507.36111111,114135.41666667,0.00392280,-0.14441094,33661040.20682572,-2954.14633205,0.00030731,0.00294447,0.17166885,-0.31607979,1
2020-05-18,21767168.61111112,1512625.00000000,5993310.00000000,29273103.61111112,63596.25000000,0.00217724,-0.14254812,32525922.26668283,-1135117.94014289,-0.01961229,-0.02829433,0.13851727,-0.28106538,0
2020-05-19,22043554.02777778,1512625.00000000,5993310.00000000,29549489.02777778,276385.41666666,0.00944162,-0.13445239,32690834.93968345,164912.67300061,0.00282433,0.01199211,0.15217050,-0.28662288,1
2020-05-20,22190994.44444444,1542000.00000000,5993310.00000000,29726304.44444444,176815.41666667,0.00598370,-0.12927320,32428875.86563193,-261959.07405152,-0.00562553,-0.00228633,0.14953625,-0.27880946,0
2020-05-21,22096569.86111112,1542000.00000000,5993310.00000000,29631879.86111112,-94424.58333333,-0.00317647,-0.13203904,32566872.59952691,137996.73389498,0.00243298,0.00117271,0.15088432,-0.28292336,0
2020-05-22,22082715.27777778,1542000.00000000,5993310.00000000,29618025.27777778,-13854.58333334,-0.00046756,-0.13244486,32825500.24492688,258627.64539997,0.00437552,0.00658014,0.15845731,-0.29090216,0
2020-05-25,22095591.52777777,1542000.00000000,5993310.00000000,29630901.52777777,12876.25000000,0.00043474,-0.13206769,32815500.24492688,-10000.00000000,-0.00020000,0.00007682,0.15854629,-0.29061399,0
2020-05-26,22112986.94444444,1542000.00000000,5993310.00000000,29648296.94444444,17395.41666667,0.00058707,-0.13155816,31963429.28010569,-852070.96482119,-0.01521377,-0.02228987,0.13272244,-0.26428060,0
2020-05-27,22095332.36111111,1542000.00000000,5993310.00000000,29630642.36111111,-17654.58333333,-0.00059547,-0.13207529,31700539.71535688,-262889.56474880,-0.00502310,-0.00766269,0.12404275,-0.25611803,1
2020-05-28,22077777.77777778,1542000.00000000,5993310.00000000,29613087.77777778,-17554.58333334,-0.00059245,-0.13258948,31519454.12026222,-181085.59509466,-0.00315578,-0.00546748,0.11789706,-0.25048655,1
2020-05-29,22133893.19444444,1542000.00000000,5993310.00000000,29669203.19444444,56115.41666667,0.00189495,-0.13094578,31605036.33216108,85582.21189885,0.00082393,0.00392161,0.12228101,-0.25322680,1
2020-06-01,22148234.02777778,1542000.00000000,5993310.00000000,29683544.02777778,14340.83333333,0.00048336,-0.13052572,31136640.99646231,-468395.33569877,-0.00850226,-0.01251727,0.10823312,-0.23875884,0
2020-06-02,22105079.44444444,1579500.00000000,5993310.00000000,29677889.44444444,-5654.58333333,-0.00019050,-0.13069135,30693844.20405007,-442796.79241224,-0.00840318,-0.01251952,0.09435858,-0.22504993,1
2020-06-03,22482434.86111111,1579500.00000000,5993310.00000000,30055244.86111111,377355.41666667,0.01271504,-0.11963806,30058478.21017706,-635365.99387301,-0.01108161,-0.00729426,0.08637604,-0.20601410,0
2020-06-04,22701690.27777777,1611750.00000000,5993310.00000000,30306750.27777777,251505.41666666,0.00836810,-0.11227110,29621219.88112744,-437258.32904961,-0.00709471,-0.00529004,0.08062907,-0.19290017,0
2020-06-05,22917585.69444444,1660500.00000000,5993310.00000000,30571395.69444444,264645.41666667,0.00873223,-0.10451925,28889911.52698899,-731308.35413845,-0.01387755,-0.01336072,0.06619109,-0.17071033,0
2020-06-08,23296241.94444444,1660500.00000000,5993310.00000000,30950051.94444444,378656.25000000,0.01238597,-0.09342786,29104809.03619608,214897.50920708,0.00391060,0.01722377,0.08455492,-0.17798277,1
2020-06-09,23362597.36111111,1660500.00000000,5993310.00000000,31016407.36111111,66355.41666667,0.00214395,-0.09148421,29846004.83129726,741195.79510118,0.01365285,0.02303678,0.10953958,-0.20102378,1
2020-06-10,24341442.77777778,1660500.00000000,4993310.00000000,30995252.77777778,-21154.58333334,-0.00068204,-0.09210386,30178369.08308179,332364.25178453,0.00501712,0.00867788,0.11916803,-0.21127188,0
2020-06-11,24257618.19444444,1660500.00000000,4993310.00000000,30911428.19444444,-83824.58333333,-0.00270443,-0.09455920,31311185.68283872,1132816.59975693,0.02040731,0.02899881,0.15162257,-0.24618177,0
2020-06-12,24165223.61111111,1660500.00000000,4993310.00000000,30819033.61111111,-92394.58333333,-0.00298901,-0.09726557,30815763.21445493,-495422.46838379,-0.00864849,-0.01579193,0.13343622,-0.23070179,1
2020-06-15,24143609.86111111,1697250.00000000,4993310.00000000,30834169.86111111,15136.25000000,0.00049113,-0.09682221,30558457.15108104,-257306.06337389,-0.00521518,-0.00661038,0.12594378,-0.22276599,0
2020-06-16,24322239.44444444,1697250.00000000,4993310.00000000,31012799.44444444,178629.58333333,0.00579323,-0.09158989,30099414.88659849,-459042.26448255,-0.00726484,-0.00770521,0.11726815,-0.20885804,0
2020-06-17,24411889.02777778,1697250.00000000,4993310.00000000,31102449.02777778,89649.58333333,0.00289073,-0.08896392,30302885.20982495,203470.32322646,0.00359320,0.00811692,0.12633693,-0.21530085,1
2020-06-18,25451308.61111111,1697250.00000000,3993310.00000000,31141868.61111111,39419.58333334,0.00126741,-0.08780927,30739399.33402525,436514.12420029,0.00748184,0.01307319,0.14106174,-0.22887100,1
2020-06-19,25511138.19444444,1697250.00000000,3993310.00000000,31201698.19444444,59829.58333333,0.00192119,-0.08605677,30958696.09552549,219296.76150024,0.00428621,0.00756824,0.14969757,-0.23575434,1
2020-06-22,25690776.94444444,1697250.00000000,3993310.00000000,31381336.94444444,179638.75000000,0.00575734,-0.08079489,31237828.75796255,279132.66243707,0.00556723,0.01234571,0.16389140,-0.24468629,1
2020-06-23,26772686.52777778,1697250.00000000,2993310.00000000,31463246.52777778,81909.58333334,0.00261014,-0.07839564,30966502.28728561,-271326.47067694,-0.00457199,-0.00503512,0.15803107,-0.23642671,0
2020-06-24,26796146.11111111,1697250.00000000,2993310.00000000,31486706.11111111,23459.58333334,0.00074562,-0.07770847,31526855.59627337,560353.30898776,0.00991186,0.01559756,0.17609353,-0.25380201,1
2020-06-25,26802595.69444444,1697250.00000000,2993310.00000000,31493155.69444444,6449.58333333,0.00020484,-0.07751955,31473913.39953576,-52942.19673761,-0.00142614,-0.00122305,0.17465511,-0.25217466,0
2020-06-26,26733935.27777778,1727250.00000000,2993310.00000000,31454495.27777778,-38660.41666667,-0.00122758,-0.07865197,32046206.98207171,572293.58253594,0.01006267,0.01405516,0.19116507,-0.26981705,0
2020-06-29,26446680.41666667,1759000.00000000,2993310.00000000,31198990.41666667,-255504.86111110,-0.00812300,-0.08613608,32024926.66491812,-21280.31715359,0.00000223,-0.00718909,0.18260168,-0.26873776,0
2020-06-30,26375326.66666666,1801500.00000000,2993310.00000000,31170136.66666666,-28853.75000001,-0.00092483,-0.08698125,31677120.53006324,-347806.13485488,-0.00630556,-0.00985404,0.17094827,-0.25792953,1
2020-07-01,26407122.91666666,1801500.00000000,2993310.00000000,31201932.91666666,31796.25000000,0.00102009,-0.08604989,31558135.81229635,-118984.71776690,-0.00212553,-0.00230369,0.16825077,-0.25430066,0
2020-07-02,26516449.16666666,1835750.00000000,2993310.00000000,31345509.16666666,143576.25000000,0.00460152,-0.08184434,31529555.54418478,-28580.26811157,-0.00070648,0.00304544,0.17180861,-0.25365294,0
