,XJIG/ S33 Corp,XJIG/ S32 Corp,XJIG/ S31 Corp,XJIG/ S30 Corp
2019-04-26,101.68259880000001,,101.6640967,101.9722699
2019-04-29,,,101.70928990000002,102.0017957
2019-04-30,101.6998517,,101.7055134,101.981288
2019-05-01,,,101.7042969,101.9811955
2019-05-02,101.67679890000001,,101.6918752,101.97355400000001
2019-05-03,,,101.6631161,101.9545987
2019-05-06,101.5412652,,101.57131640000001,101.84887859999999
2019-05-07,101.5598998,,101.5522519,101.85909170000001
2019-05-08,101.5068679,,101.45009940000001,101.7754089
2019-05-09,101.3582723,,101.3875567,101.7176428
2019-05-10,101.4397484,,101.4079801,101.727195
2019-05-13,,,101.3327194,101.6848475
2019-05-14,101.29587190000001,,101.33255909999998,101.66668620000002
2019-05-15,101.3537199,,101.33829659999999,101.65905550000001
2019-05-16,101.38004699999999,,101.3938612,101.7124373
2019-05-17,,,101.3689442,101.6989539
2019-05-20,101.32862850000001,,101.33503329999999,101.6805132
2019-05-21,101.3360629,,101.358795,101.6723687
2019-05-22,101.3376816,,101.3320057,101.66538349999999
2019-05-23,101.22772009999998,,101.2312439,101.59867870000001
2019-05-24,101.213525,,101.2169587,101.5554877
2019-05-27,,,101.2192713,101.5542875
2019-05-28,101.2063488,,101.1962632,101.53811379999999
2019-05-29,101.0647316,,101.0870618,101.4734053
2019-05-30,101.1146969,,101.09060840000001,101.45162009999999
2019-05-31,100.9697429,,101.0106333,101.3611707
2019-06-03,100.8465187,,100.8837236,101.26357829999999
2019-06-04,100.94589920000001,,100.9578808,101.3057514
2019-06-05,101.0440263,,101.0270996,101.3826711
2019-06-06,101.072314,,101.1260077,101.468965
2019-06-07,,,101.1678347,101.3541353
2019-06-10,,,101.2697199,101.5630917
2019-06-11,,,101.3473458,101.6191037
2019-06-12,101.3032595,,101.3040679,101.6079683
2019-06-13,,,101.2902325,101.5827547
2019-06-14,,,101.2770063,101.5829867
2019-06-17,101.273792,,101.2687056,101.58283540000001
2019-06-18,101.2795661,,101.3121013,101.5923179
2019-06-19,,,101.3999231,101.6928288
2019-06-20,,,101.6169676,101.8426808
2019-06-21,,,101.6227401,101.88077059999999
2019-06-24,,,101.61517070000001,101.8806262
2019-06-25,101.5610123,,101.5680725,101.84747220000001
2019-06-26,,,101.60140990000001,101.8549577
2019-06-27,,,101.61090379999999,101.8653058
2019-06-28,,,101.6433421,101.88891269999999
2019-07-01,,,101.77102940000002,
2019-07-02,,,101.800895,102.0015649
2019-07-03,101.76509449999999,,101.80302459999999,102.0089938
2019-07-04,,,101.80540359999999,101.68508220000001
2019-07-05,,,101.7512911,101.68036409999999
2019-07-08,,,101.67583909999999,101.9201434
2019-07-09,,,101.6188917,101.8744833
2019-07-10,,,101.6742179,101.9035777
2019-07-11,,,101.7035082,101.9325321
2019-07-12,,,101.7044641,101.9378719
2019-07-15,,,101.70947609999999,101.94488890000001
2019-07-16,,,101.6893415,101.94383359999999
2019-07-17,,,101.6444728,101.92533459999999
2019-07-18,,,101.63302159999999,101.9180015
2019-07-19,,,101.69981059999999,101.9514695
2019-07-22,,,101.713313,101.9765311
2019-07-23,101.733359,,101.7903525,102.0290542
2019-07-24,,,101.88135729999999,102.10676540000001
2019-07-25,,,101.96137359999999,102.1808298
2019-07-26,,,101.97067690000002,102.198663
2019-07-29,,,101.950949,102.195952
2019-07-30,,,101.9286964,102.18110440000001
2019-07-31,,,101.94459640000001,102.15798249999999
2019-08-01,,,101.92766040000001,102.14186190000001
2019-08-02,,,101.7739416,102.02983929999999
2019-08-05,,,101.51898359999998,101.9431542
