Dates,Spreads,Prices
2019/3/20,54.03,102.236762
2019/3/21,53.972,102.2433286
2019/3/22,51.867,102.3469062
2019/3/25,51.948,102.3452901
2019/3/26,51.611,102.3652871
2019/3/27,50.91,102.3983045
2019/3/28,51.272,102.3813355
2019/3/29,49.805,102.4516151
2019/4/1,47.405,102.5642503
2019/4/2,47.403,102.5583168
2019/4/3,46.491,102.6043671
2019/4/4,46.279,102.6116362
2019/4/5,42.55,102.7967324
2019/4/8,43.025,102.768758
2019/4/9,42.927,102.7713692
2019/4/10,43.219,102.7572915
2019/4/11,42.694,102.784235
2019/4/12,42.17,102.8066584
2019/4/15,41.875,102.8126366
2019/4/16,41.638,102.8235466
2019/4/17,40.596,102.8717849
2019/4/18,40.405,102.8799902
2019/4/19,40.328,102.8845381
2019/4/22,40.338,102.8794189
2019/4/23,40.21,102.8841009
2019/4/24,40.283,102.881396
2019/4/25,42.779,102.7595284
2019/4/26,41.72,102.8090792
2019/4/29,41.024,102.8417295
2019/4/30,40.978,102.8416424
2019/5/1,41.105,102.8360036
2019/5/2,41.128,102.8309837
2019/5/3,40.978,102.8339664
2019/5/6,44.647,102.6503417
2019/5/7,43.836,102.6911332
2019/5/8,46.113,102.581372
2019/5/9,47.757,102.4981493
2019/5/10,45.662,102.6015799
2019/5/13,47.691,102.497791
2019/5/14,49.67,102.4055106
2019/5/15,48.725,102.4504709
2019/5/16,47.494,102.5123818
2019/5/17,49.206,102.4259378
2019/5/20,49.682,102.3991474
2019/5/21,48.942,102.4324272
2019/5/22,49.492,102.4031581
2019/5/23,52.238,102.2703832
2019/5/24,52.546,102.259439
2019/5/27,52.425,102.2613424
2019/5/28,53.327,102.2165363
2019/5/29,56.769,102.0519449
2019/5/30,56.752,102.0518291
2019/5/31,58.17,101.9841477
2019/6/3,60.834,101.8581749
2019/6/4,58.335,101.9821496
2019/6/5,57.051,102.0413536
2019/6/6,54.894,102.1458569
2019/6/7,54.891,102.1425715
2019/6/10,50.701,102.3436415
2019/6/11,49.471,102.3993076
2019/6/12,50.598,102.3436357
2019/6/13,50.601,102.3449617
2019/6/14,50.961,102.3295171
2019/6/17,50.244,102.3611982
2019/6/18,49.798,102.3797313
2019/6/19,46.589,102.5350329
2019/6/20,45.43,102.5946801
2019/6/21,41.903,102.7667008
2019/6/24,42.285,102.7419135
2019/6/25,43.681,102.6757248
2019/6/26,43.989,102.6610313
2019/6/27,43.265,102.6904481
2019/6/28,43.52,102.6780381
2019/7/1,42.868,102.7039147
2019/7/2,41.663,102.7590968
2019/7/3,41.859,102.7505979
2019/7/4,41.253,102.7795034
2019/7/5,41.031,102.788815
2019/7/8,42.449,102.7090862
2019/7/9,42.872,102.6860675
2019/7/10,42.015,102.7255579
2019/7/11,42.156,102.7197147
2019/7/12,42.043,102.7212882
2019/7/15,42.101,102.7150991
2019/7/16,42.143,102.7133209
2019/7/17,42.847,102.6765627
2019/7/18,42.933,102.6740453
2019/7/19,41.941,102.7238985
2019/7/22,42.119,102.7082167
2019/7/23,41.491,102.7368485
